borough,cuisine,grades,name,restaurant_id,building,street,zipcode
Bronx,Bakery,8.2,Morris Park Bake Shop,30075445,1007,Morris Park Ave,10462.0
Brooklyn,Hamburgers,13.75,Wendy'S,30112340,469,Flatbush Avenue,11225.0
Manhattan,Irish,9.25,Dj Reynolds Pub And Restaurant,30191841,351,West   57 Street,10019.0
Brooklyn,American ,9.0,Riviera Caterer,40356018,2780,Stillwell Avenue,11224.0
Queens,Jewish/Kosher,17.75,Tov Kosher Kitchen,40356068,97-22,63 Road,11374.0
Queens,American ,17.0,Brunos On The Boulevard,40356151,8825,Astoria Boulevard,11369.0
Staten Island,Jewish/Kosher,10.5,Kosher Island,40356442,2206,Victory Boulevard,10314.0
Brooklyn,Delicatessen,10.0,Wilken'S Fine Food,40356483,7114,Avenue U,11234.0
Brooklyn,American ,9.6,Regina Caterers,40356649,6409,11 Avenue,11219.0
Brooklyn,"Ice Cream, Gelato, Yogurt, Ices",8.25,Taste The Tropics Ice Cream,40356731,1839,Nostrand Avenue,11226.0
Bronx,American ,6.0,Wild Asia,40357217,2300,Southern Boulevard,10460.0
Brooklyn,American ,3.5,C & C Catering Service,40357437,7715,18 Avenue,11214.0
Brooklyn,Chinese,27.6,May May Kitchen,40358429,1269,Sutter Avenue,11208.0
Manhattan,American ,3.25,1 East 66Th Street Kitchen,40359480,1,East   66 Street,10065.0
Brooklyn,Jewish/Kosher,11.8,Seuda Foods,40360045,705,Kings Highway,11223.0
Brooklyn,"Ice Cream, Gelato, Yogurt, Ices",8.6,Carvel Ice Cream,40360076,203,Church Avenue,11218.0
Queens,"Ice Cream, Gelato, Yogurt, Ices",10.666666666666666,Carvel Ice Cream,40361322,265-15,Hillside Avenue,11004.0
Brooklyn,Delicatessen,5.666666666666667,Nordic Delicacies,40361390,6909,3 Avenue,11209.0
Manhattan,American ,12.2,Glorious Food,40361521,522,East   74 Street,10021.0
Brooklyn,American ,9.25,The Movable Feast,40361606,284,Prospect Park West,11215.0
Queens,Delicatessen,9.5,Sal'S Deli,40361618,129-08,20 Avenue,11356.0
Manhattan,Delicatessen,9.25,Bully'S Deli,40361708,759,Broadway,10003.0
Queens,Delicatessen,7.5,Steve Chu'S Deli & Grocery,40361998,3406,10 Street,11106.0
Manhattan,Chicken,10.666666666666666,Harriet'S Kitchen,40362098,502,Amsterdam Avenue,10024.0
Manhattan,American ,16.75,P & S Deli Grocery,40362264,730,Columbus Avenue,10025.0
Manhattan,American ,7.75,Angelika Film Center,40362274,18,West Houston Street,10012.0
Brooklyn,Hamburgers,6.25,White Castle,40362344,531,Myrtle Avenue,11205.0
Queens,Chinese,9.125,Ho Mei Restaurant,40362432,103-05,37 Avenue,11368.0
Manhattan,Turkish,10.5,The Country Cafe,40362715,60,Wall Street,10005.0
Brooklyn,Caribbean,8.0,Shashemene Int'L Restaura,40362869,195,East   56 Street,11203.0
